ft06,GAKK,58,2
ft06,GAKK,57,2
ft06,GAKK,59,2
ft06,GAKK,58,2
ft06,GAKK,59,2
ft06,GAKK,59,2
ft06,GAKK,57,2
ft06,GAKK,55,2
ft06,GAKK,58,2
ft06,GAKK,57,2
ft06,GAKK,55,2
ft06,GAKK,55,2
ft06,GAKK,57,2
ft06,GAKK,57,2
ft06,GAKK,55,2
ft06,GAKK,57,2
ft06,GAKK,59,2
ft06,GAKK,55,2
ft06,GAKK,58,2
ft06,GAKK,57,2
ft06,GASPT,58,2
ft06,GASPT,59,2
ft06,GASPT,55,2
ft06,GASPT,59,2
ft06,GASPT,55,2
ft06,GASPT,55,2
ft06,GASPT,58,2
ft06,GASPT,59,2
ft06,GASPT,58,2
ft06,GASPT,55,2
ft06,GASPT,55,2
ft06,GASPT,60,2
ft06,GASPT,55,2
ft06,GASPT,55,2
ft06,GASPT,55,2
ft06,GASPT,59,2
ft06,GASPT,58,2
ft06,GASPT,59,2
ft06,GASPT,59,2
ft06,GASPT,55,2
ft06,GALPT,55,2
ft06,GALPT,59,2
ft06,GALPT,59,2
ft06,GALPT,58,2
ft06,GALPT,59,2
ft06,GALPT,55,2
ft06,GALPT,59,2
ft06,GALPT,55,2
ft06,GALPT,57,2
ft06,GALPT,59,2
ft06,GALPT,60,2
ft06,GALPT,57,2
ft06,GALPT,59,2
ft06,GALPT,57,2
ft06,GALPT,58,2
ft06,GALPT,59,2
ft06,GALPT,58,2
ft06,GALPT,55,2
ft06,GALPT,59,2
ft06,GALPT,58,2
ft06,GASRPT,55,2
ft06,GASRPT,55,2
ft06,GASRPT,58,2
ft06,GASRPT,59,2
ft06,GASRPT,59,2
ft06,GASRPT,55,2
ft06,GASRPT,55,2
ft06,GASRPT,57,2
ft06,GASRPT,58,2
ft06,GASRPT,55,2
ft06,GASRPT,55,2
ft06,GASRPT,58,2
ft06,GASRPT,57,2
ft06,GASRPT,58,2
ft06,GASRPT,55,2
ft06,GASRPT,55,2
ft06,GASRPT,57,2
ft06,GASRPT,59,2
ft06,GASRPT,57,2
ft06,GASRPT,55,2
ft06,GALRPT,55,2
ft06,GALRPT,59,2
ft06,GALRPT,55,2
ft06,GALRPT,57,2
ft06,GALRPT,55,2
ft06,GALRPT,60,2
ft06,GALRPT,58,2
ft06,GALRPT,55,2
ft06,GALRPT,57,2
ft06,GALRPT,58,2
ft06,GALRPT,55,2
ft06,GALRPT,59,2
ft06,GALRPT,59,2
ft06,GALRPT,59,2
ft06,GALRPT,55,2
ft06,GALRPT,58,2
ft06,GALRPT,55,2
ft06,GALRPT,58,2
ft06,GALRPT,55,2
ft06,GALRPT,58,2
ft06,GAMIX,55,2
ft06,GAMIX,58,2
